internal_id,is_active,asset_class,canonical_symbol,display_ticker,display_name,currency,primary_exchange,multiplier,ibkr_sec_type,ibkr_symbol,ibkr_exchange,ibkr_conid,yahoo_symbol,eq_country,eq_sector,dir_exposure,fi_mod_duration,fi_tenor,lookup_status,last_verified_at
CASH:SGD_CASH_VALUE:MANUAL,true,CASH,SGD_CASH_VALUE,SGD_CASH_VALUE,Cash,SGD,MANUAL,1,CASH,SGD,MANUAL,,,,,L,,,cached,
FUT:AUD:CME,true,FX,AUD,AUD,AUD FX Future,USD,CME,100000,FUT,AUD,CME,496647009,6A=F,,,L,,,cached,
FUT:CL:NYMEX,true,CM,CL,CL,WTI Crude Oil,USD,NYMEX,1,FUT,CL,NYMEX,,CL=F,,,L,,,seeded,
FUT:EUR:CME,true,FX,EUR,EUR,EUR FX Future,USD,CME,125000,FUT,EUR,CME,496647057,6E=F,,,L,,,cached,
FUT:GBP:CME,true,FX,GBP,GBP,GBP FX Future,USD,CME,62500,FUT,GBP,CME,496647091,6B=F,,,L,,,cached,
FUT:MCL:NYMEX,true,CM,MCL,MCL,Micro WTI Crude Oil,USD,NYMEX,1,FUT,MCL,NYMEX,,CL=F,,,L,,,seeded,
FUT:NG:NYMEX,true,CM,NG,NG,Natural Gas,USD,NYMEX,1,FUT,NG,NYMEX,,NG=F,,,L,,,seeded,
FUT:VIX:CFE,true,EQ,VIX,VIX,VIX,USD,CFE,1,FUT,VIX,CFE,,^VIX,,Volatility,S,,,seeded,
FUT:VXM:CFE,true,EQ,VXM,VXM,VIX Mini,USD,CFE,1,FUT,VXM,CFE,,^VIX,,Volatility,S,,,seeded,
FUT:ZF:CBOT,true,FI,ZF,ZF,5Y TF,USD,CBOT,1000,FUT,ZF,CBOT,818615223,ZF=F,,,L,4.333,3-5Y,cached,
FUT:ZN:CBOT,true,FI,ZN,ZN,10Y TF,USD,CBOT,1000,FUT,ZN,CBOT,815824229,ZN=F,,,L,7.627,7-10Y,cached,
FUT:ZT:CBOT,true,FI,ZT,ZT,2Y TF,USD,CBOT,2000,FUT,ZT,CBOT,818615229,ZT=F,,,L,1.879,1-3Y,cached,
STK:ACWD:LSEETF,true,EQ,ACWD,ACWD,ACWI,USD,LSEETF,1,STK,ACWD,LSEETF,91812967,ACWD.L,ACWI,,L,,,cached,
STK:ASHR:SMART,true,EQ,ASHR,ASHR,China,USD,ARCA,1,STK,ASHR,SMART,137868087,ASHR,CN,,L,,,cached,
STK:BOXX:SMART,true,CASH,BOXX,BOXX,Cash,USD,SMART,1,STK,BOXX,SMART,,BOXX,,,L,,,cached,
STK:COPX:SMART,true,CM,COPX,COPX,Copper Miners,USD,ARCA,1,STK,COPX,SMART,211651700,COPX,,,L,,,cached,
STK:DBMF:SBF,true,MACRO,DBMF,DBMF,Trend,USD,SBF,1,STK,DBMF,SBF,774094650,DBMF.L,,,L,,,cached,
STK:DBMF:SMART,true,MACRO,DBMF,DBMF,Trend,USD,,1,STK,DBMF,SMART,,DBMF,,,L,,,seeded,
