risk_enter_threshold,risk_min_consecutive_days,axis_min_consecutive_days,anchor,crisis_days,crisis_stress_days,benign_days,benign_stress_days,critical_day_stress,critical_day_latency_bdays,trough_growth_score,crisis_max_negative_growth,median_axis_run_length
0.55,1,3,COVID 2020,49,31,175,19,False,1.0,-0.5345078589288665,-0.6520662893661778,3.0
0.55,1,3,GFC 2008-09,78,56,195,13,True,0.0,-0.883616872109885,-0.8879673448331615,3.0
0.55,1,3,2022 Inflation Surge,109,13,73,6,False,3.0,0.3667874100611902,-0.6455059984485798,3.0
0.55,1,3,2025 Tariff Shock,32,16,204,22,True,0.0,-0.5226680334461726,-0.6670256573291179,3.0
0.55,1,5,COVID 2020,49,31,175,19,False,1.0,-0.5345078589288665,-0.6520662893661778,3.0
0.55,1,5,GFC 2008-09,78,56,195,13,True,0.0,-0.883616872109885,-0.8879673448331615,3.0
0.55,1,5,2022 Inflation Surge,109,13,73,6,False,3.0,0.3667874100611902,-0.6455059984485798,3.0
0.55,1,5,2025 Tariff Shock,32,16,204,22,True,0.0,-0.5226680334461726,-0.6670256573291179,3.0
0.55,1,10,COVID 2020,49,31,175,19,False,1.0,-0.5345078589288665,-0.6520662893661778,3.0
0.55,1,10,GFC 2008-09,78,56,195,13,True,0.0,-0.883616872109885,-0.8879673448331615,3.0
0.55,1,10,2022 Inflation Surge,109,13,73,6,False,3.0,0.3667874100611902,-0.6455059984485798,3.0
0.55,1,10,2025 Tariff Shock,32,16,204,22,True,0.0,-0.5226680334461726,-0.6670256573291179,3.0
0.55,2,3,COVID 2020,49,33,175,20,False,2.0,-0.5345078589288665,-0.6520662893661778,3.0
0.55,2,3,GFC 2008-09,78,58,195,11,False,23.0,-0.883616872109885,-0.8879673448331615,3.0
0.55,2,3,2022 Inflation Surge,109,14,73,5,False,4.0,0.3667874100611902,-0.6455059984485798,3.0
0.55,2,3,2025 Tariff Shock,32,16,204,20,False,1.0,-0.5226680334461726,-0.6670256573291179,3.0
0.55,2,5,COVID 2020,49,33,175,20,False,2.0,-0.5345078589288665,-0.6520662893661778,3.0
0.55,2,5,GFC 2008-09,78,58,195,11,False,23.0,-0.883616872109885,-0.8879673448331615,3.0
0.55,2,5,2022 Inflation Surge,109,14,73,5,False,4.0,0.3667874100611902,-0.6455059984485798,3.0
0.55,2,5,2025 Tariff Shock,32,16,204,20,False,1.0,-0.5226680334461726,-0.6670256573291179,3.0
0.55,2,10,COVID 2020,49,33,175,20,False,2.0,-0.5345078589288665,-0.6520662893661778,3.0
0.55,2,10,GFC 2008-09,78,58,195,11,False,23.0,-0.883616872109885,-0.8879673448331615,3.0
0.55,2,10,2022 Inflation Surge,109,14,73,5,False,4.0,0.3667874100611902,-0.6455059984485798,3.0
0.55,2,10,2025 Tariff Shock,32,16,204,20,False,1.0,-0.5226680334461726,-0.6670256573291179,3.0
0.55,3,3,COVID 2020,49,33,175,20,False,3.0,-0.5345078589288665,-0.6520662893661778,3.0
0.55,3,3,GFC 2008-09,78,60,195,11,False,24.0,-0.883616872109885,-0.8879673448331615,3.0
0.55,3,3,2022 Inflation Surge,109,12,73,5,False,18.0,0.3667874100611902,-0.6455059984485798,3.0
0.55,3,3,2025 Tariff Shock,32,16,204,16,False,2.0,-0.5226680334461726,-0.6670256573291179,3.0
0.55,3,5,COVID 2020,49,33,175,20,False,3.0,-0.5345078589288665,-0.6520662893661778,3.0
0.55,3,5,GFC 2008-09,78,60,195,11,False,24.0,-0.883616872109885,-0.8879673448331615,3.0
