regime,start,end,days
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-01-02,1995-02-06,26
Goldilocks / Expansion,1995-02-07,1995-08-31,148
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-09-01,1995-09-08,6
Goldilocks / Expansion,1995-09-11,1995-10-06,20
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-10-09,1995-12-07,44
Goldilocks / Expansion,1995-12-08,1995-12-15,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,1995-12-18,1996-02-06,37
Goldilocks / Expansion,1996-02-07,1996-02-28,16
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-02-29,1996-04-22,38
Neutral/Mixed Growth / Neutral/Mixed Inflation,1996-04-23,1996-05-07,11
Down Growth / Neutral/Mixed Inflation,1996-05-08,1996-05-16,7
Neutral/Mixed Growth / Neutral/Mixed Inflation,1996-05-17,1996-07-16,43
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-07-17,1996-07-18,2
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1996-07-19,1996-08-06,13
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1996-08-07,1996-08-14,6
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1996-08-15,1996-08-16,2
Down Growth / Neutral/Mixed Inflation,1996-08-19,1996-09-12,19
Neutral/Mixed Growth / Neutral/Mixed Inflation,1996-09-13,1996-10-07,17
Goldilocks / Expansion,1996-10-08,1996-12-31,61
Goldilocks / Expansion + Stress Overlay,1997-01-01,1997-01-03,3
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-01-06,1997-01-15,8
Goldilocks / Expansion + Stress Overlay,1997-01-16,1997-03-21,47
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-03-24,1997-04-14,16
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-04-15,1997-05-01,13
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-05-02,1997-06-04,24
Neutral/Mixed Growth / Neutral/Mixed Inflation,1997-06-05,1997-06-12,6
Goldilocks / Expansion,1997-06-13,1997-07-21,27
Goldilocks / Expansion + Stress Overlay,1997-07-22,1997-08-06,12
Goldilocks / Expansion,1997-08-07,1997-08-18,8
Goldilocks / Expansion + Stress Overlay,1997-08-19,1997-08-29,9
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-09-01,1997-10-06,26
Neutral/Mixed Growth / Neutral/Mixed Inflation,1997-10-07,1997-10-28,16
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1997-10-29,1997-11-21,18
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,1997-11-24,1997-12-04,9
Neutral/Mixed Growth / Neutral/Mixed Inflation,1997-12-05,1997-12-23,13
Down Growth / Neutral/Mixed Inflation,1997-12-24,1998-01-28,26
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-01-29,1998-02-09,8
Goldilocks / Expansion,1998-02-10,1998-03-03,16
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-03-04,1998-03-13,8
Goldilocks / Expansion,1998-03-16,1998-05-11,41
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-05-12,1998-08-07,64
Down Growth / Neutral/Mixed Inflation,1998-08-10,1998-08-21,10
Down Growth / Neutral/Mixed Inflation + Stress Overlay,1998-08-24,1998-11-02,51
Down Growth / Neutral/Mixed Inflation,1998-11-03,1998-11-04,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,1998-11-05,1998-11-26,16
Goldilocks / Expansion,1998-11-27,1999-02-17,59
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-02-18,1999-03-15,18
Goldilocks / Expansion,1999-03-16,1999-03-24,7
Neutral/Mixed Growth / Neutral/Mixed Inflation,1999-03-25,1999-08-03,94
Down Growth / Neutral/Mixed Inflation,1999-08-04,1999-08-17,10
