axis,concept,weight,n_obs,mean,std,abs_p95,min,max
growth,broad_equity_momentum,0.8,6875,-0.01334689387377712,0.27442132753641474,0.5392737747713904,-0.8742582944997309,0.8261494132738396
growth,commodity_demand,0.5,3654,0.008172464175438614,0.4329379650820988,0.7990686380211036,-0.9051482536448664,0.9051482536448664
growth,cyclical_rotation,1.0,6875,0.0027419372170342615,0.3644645071048823,0.7251492817832585,-0.9051482536448664,0.8822670018579266
growth,risk_appetite,0.8,4853,0.0041884014140784204,0.4140965068074029,0.7850510409403331,-0.9051482536448664,0.9051482536448664
inflation,commodity_inflation,1.0,6875,0.010306664027992218,0.42196942290469575,0.8092078221265326,-0.9051482536448663,0.9051482536448663
inflation,gold_haven_inflation_proxy,0.5,5477,0.03623717265863102,0.44762834930727574,0.8052628372307559,-0.9051482536448664,0.9051482536448664
inflation,inflation_pricing_proxy,1.0,5726,-0.017564173433487547,0.4165292531827763,0.7893381288082657,-0.9051482536448664,0.9051482536448664
risk,credit_stress,1.0,4853,-0.0041884014140784204,0.4140965068074029,0.7850510409403331,-0.9051482536448664,0.9051482536448664
risk,flight_to_quality,0.75,6121,-0.01180437632331062,0.3970038838035873,0.7917111944488184,-0.9051482536448664,0.9051482536448664
risk,volatility,1.0,6875,-0.07596180614681845,0.3911647745582963,0.72734170861241,-0.6651980363808957,0.9051482536448665
