signal,axis,transform,n_obs,mean,std,abs_p95,min,max
copper_momentum,growth,return,3654,0.008172464175438614,0.4329379650820988,0.7990686380211036,-0.9051482536448664,0.9051482536448664
credit_risk_appetite,growth,relative_return,4853,0.0041884014140784204,0.4140965068074029,0.7850510409403331,-0.9051482536448664,0.9051482536448664
discretionary_vs_staples,growth,beta_adjusted_relative_return,6875,-0.0017565056095947573,0.4272859291455234,0.811533145702934,-0.9051482536448664,0.9051482536448664
industrials_vs_utilities,growth,beta_adjusted_relative_return,6875,0.00027235425796861613,0.4232093102868865,0.7670566637167694,-0.9051482536448664,0.9051482536448664
iwm_vs_spy_beta_adj,growth,beta_adjusted_relative_return,6649,-0.012030537709169287,0.428503896276122,0.775070746981992,-0.9051482536448664,0.9051482536448664
qqq_vs_spy_beta_adj,growth,beta_adjusted_relative_return,6875,-0.019967094883288836,0.4137941674351196,0.766750797988231,-0.9051482536448664,0.9051482536448664
spy_momentum,growth,return,6875,-0.007550193240166004,0.4255795220044863,0.8102622971601229,-0.9051482536448664,0.9051482536448664
tech_vs_utilities,growth,beta_adjusted_relative_return,6875,0.011209443944938599,0.42786275785723493,0.795276014440203,-0.9051482536448664,0.9051482536448664
broad_commodity_momentum,inflation,return,5160,0.011540892704305434,0.438945431850085,0.8523117335423597,-0.9051482536448664,0.9051482536448664
gold_momentum,inflation,return,5477,0.03623717265863102,0.44762834930727574,0.8052628372307559,-0.9051482536448664,0.9051482536448664
oil_momentum,inflation,return,5115,0.021680741505965825,0.4338831540435312,0.8413113338810472,-0.9051482536448664,0.9051482536448664
sp_gsci_momentum,inflation,return,6875,0.0013104227716021165,0.4295814313641954,0.8173244737753275,-0.9051482536448664,0.9051482536448664
tip_vs_nominal_treasury,inflation,relative_return,5726,-0.017564173433487547,0.4165292531827763,0.7893381288082657,-0.9051482536448664,0.9051482536448664
credit_stress,risk,relative_return,4853,-0.0041884014140784204,0.4140965068074029,0.7850510409403331,-0.9051482536448664,0.9051482536448664
equity_realized_vol,risk,realized_vol,6875,-0.057109482395692183,0.41676018553979444,0.8135789019519593,-0.7523761684595022,0.9051482536448664
flight_to_quality,risk,relative_return,6121,-0.01180437632331062,0.3970038838035873,0.7917111944488184,-0.9051482536448664,0.9051482536448664
move_level,risk,level,6067,-0.11849064840500075,0.5016177899845601,0.8486314269727248,-0.9051482536448664,0.9051482536448664
vix_level,risk,level,6875,-0.07210566356220872,0.437967005863181,0.83230830818672,-0.7502251430084153,0.9051482536448664
